mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__optimizer__learning_rate,param_mlp__nlayers,param_mlp__hiddens,param_mlp__dropouts,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.3812484741210938,0.03840532388305127,0.06807794570922851,0.005895554063773509,0.005,3,"(4, 64, 8, 4, 8, 16)",[0.1 0.  0.2 0.  0.2 0. ],"{'mlp__optimizer__learning_rate': 0.005, 'mlp__nlayers': 3, 'mlp__hiddens': (4, 64, 8, 4, 8, 16), 'mlp__dropouts': array([0.1, 0. , 0.2, 0. , 0.2, 0. ])}",-3.4446791682675886,-3.440077233244682,-3.2662662119547528,-2.9785959646506392,-3.0993189528168226,-3.245787506186897,0.184699824401746,1,-3.1233986711387427,-2.881489041148118,-3.200225782534073,-3.2040777805849503,-2.8838734496695095,-3.0586129450150787,0.14650472552216043
2.399896240234375,0.28392016389592345,0.07266497611999512,0.0023379571578049313,0.001,4,"(4, 4, 32, 8, 8, 16)",[0.  0.1 0.  0.1 0.2 0.2],"{'mlp__optimizer__learning_rate': 0.001, 'mlp__nlayers': 4, 'mlp__hiddens': (4, 4, 32, 8, 8, 16), 'mlp__dropouts': array([0. , 0.1, 0. , 0.1, 0.2, 0.2])}",-3.5025576495644826,-3.6212100442354793,-3.096879763343686,-3.0872739861076646,-3.224917624184864,-3.3065678134872356,0.2173188274074362,2,-3.2021776603677883,-3.2654008941170947,-3.0329178992474666,-3.4397709983929907,-3.1605596691340043,-3.2201654242518685,0.1335746212727358
2.1966588497161865,0.1831733189457638,0.0655479907989502,0.0012594510164992561,0.001,3,"(4, 32, 16, 8, 32, 4)",[0.1 0.2 0.2 0.  0.1 0.2],"{'mlp__optimizer__learning_rate': 0.001, 'mlp__nlayers': 3, 'mlp__hiddens': (4, 32, 16, 8, 32, 4), 'mlp__dropouts': array([0.1, 0.2, 0.2, 0. , 0.1, 0.2])}",-3.510854508855434,-3.8657229047347936,-3.2383623175449063,-2.9486833922422644,-3.3891049044583017,-3.39054560556714,0.3028767875529582,3,-3.1423411934107377,-3.31047085998827,-3.101905835208997,-3.179767202829663,-3.1350687493037657,-3.1739107681482865,0.07262645159326087
1.4480929851531983,0.16061496459088026,0.07597637176513672,0.0045624177514964935,0.005,5,"(4, 64, 8, 32, 16, 16)",[0.2 0.  0.1 0.  0.3 0.1],"{'mlp__optimizer__learning_rate': 0.005, 'mlp__nlayers': 5, 'mlp__hiddens': (4, 64, 8, 32, 16, 16), 'mlp__dropouts': array([0.2, 0. , 0.1, 0. , 0.3, 0.1])}",-3.207207165493991,-4.407999396460695,-2.9978724576439366,-3.081829726614197,-3.5646800152721303,-3.45191775229699,0.515715616576012,5,-3.128184886801048,-3.8623425507821674,-3.07255669271959,-3.3940348753319416,-3.4959289292799323,-3.3906095869829356,0.28413386014757114
1.2776163578033448,0.06078292364436978,0.07075395584106445,0.0033363265247461026,0.005,4,"(16, 16, 32, 8, 32, 4)",[0.2 0.1 0.1 0.  0.3 0.3],"{'mlp__optimizer__learning_rate': 0.005, 'mlp__nlayers': 4, 'mlp__hiddens': (16, 16, 32, 8, 32, 4), 'mlp__dropouts': array([0.2, 0.1, 0.1, 0. , 0.3, 0.3])}",-3.6798213954321017,-3.3483401408669726,-3.537583895886531,-3.154570747033625,-3.5673627539421036,-3.457535786632266,0.1852522921295594,7,-3.4008863177794577,-2.8708558094045507,-3.2520165055436516,-3.121352321441317,-3.304008868242483,-3.1898239644822923,0.18323889938774426
2.156716299057007,0.16597315220281056,0.07149243354797363,0.0014918667237608105,0.001,5,"(4, 16, 32, 8, 4, 8)",[0.  0.  0.  0.3 0.  0.3],"{'mlp__optimizer__learning_rate': 0.001, 'mlp__nlayers': 5, 'mlp__hiddens': (4, 16, 32, 8, 4, 8), 'mlp__dropouts': array([0. , 0. , 0. , 0.3, 0. , 0.3])}",-3.738485691508308,-3.824350367878565,-3.437085464402496,-2.9257516458980377,-3.4858858792664575,-3.4823118097907733,0.3144623491660362,9,-3.2062982887559897,-3.450731677517083,-3.5051532882586205,-3.2510694129735396,-3.43408889534747,-3.369468312570541,0.1181801361699686
1.7477651119232178,0.12719790549405327,0.06533241271972656,0.0031968132500243334,0.001,3,"(4, 64, 32, 8, 8, 8)",[0.  0.  0.  0.3 0.3 0. ],"{'mlp__optimizer__learning_rate': 0.001, 'mlp__nlayers': 3, 'mlp__hiddens': (4, 64, 32, 8, 8, 8), 'mlp__dropouts': array([0. , 0. , 0. , 0.3, 0.3, 0. ])}",-3.356809568636534,-3.9518248867264214,-3.1209566951647476,-3.3214943570996893,-3.7083005004716054,-3.4918772016197996,0.29774032935300404,10,-3.0323955057613183,-3.2929124937839194,-3.188334435960113,-3.4906915566428762,-3.274312819869661,-3.255729362403578,0.14923488232006119
1.2726795673370361,0.06259353585988686,0.07808966636657715,0.004779491265610385,0.005,5,"(64, 16, 64, 4, 32, 8)",[0.  0.1 0.  0.  0.3 0.3],"{'mlp__optimizer__learning_rate': 0.005, 'mlp__nlayers': 5, 'mlp__hiddens': (64, 16, 64, 4, 32, 8), 'mlp__dropouts': array([0. , 0.1, 0. , 0. , 0.3, 0.3])}",-3.9843869533059375,-3.6515288266749977,-3.3105724276183084,-3.1257315136476946,-3.4829481939263682,-3.5110335830346613,0.294358106808301,12,-3.63916802954335,-3.225020916892922,-3.5123285700084086,-3.1473303659553733,-2.9623377614547644,-3.2972371287709636,0.24618118288011834
1.446125364303589,0.06401359202114333,0.07604179382324219,0.004591495042081208,0.005,5,"(8, 32, 16, 64, 4, 4)",[0.  0.2 0.2 0.2 0.2 0. ],"{'mlp__optimizer__learning_rate': 0.005, 'mlp__nlayers': 5, 'mlp__hiddens': (8, 32, 16, 64, 4, 4), 'mlp__dropouts': array([0. , 0.2, 0.2, 0.2, 0.2, 0. ])}",-3.7727446267550113,-3.9751856072764578,-3.2259240387296417,-3.5300543419843162,-3.237916053630224,-3.54836493367513,0.29434811013579293,14,-3.6059106990397307,-3.195031980399877,-3.0599554577540826,-3.5274451555283344,-3.104705382925565,-3.298609735129518,0.224536253303251
1.1212510108947753,0.054269781588493396,0.0640638828277588,0.0004592502714229172,0.005,3,"(64, 4, 32, 4, 32, 32)",[0.1 0.2 0.  0.1 0.  0.1],"{'mlp__optimizer__learning_rate': 0.005, 'mlp__nlayers': 3, 'mlp__hiddens': (64, 4, 32, 4, 32, 32), 'mlp__dropouts': array([0.1, 0.2, 0. , 0.1, 0. , 0.1])}",-3.801082160762099,-3.5894481289806257,-3.68110321004065,-3.0057757746962253,-3.9227328232145053,-3.600028419538821,0.31761045609903565,22,-3.483199774006285,-3.011450999571587,-3.564499424190209,-3.0217209413174073,-3.5360134760820148,-3.323376923033501,0.25186973656323103
